Video-Filename,English-Manual-Response-Correction
158_5_1CF93B6F-019-0008D-0000156D-1CF8BF1D,"The video shows a close-up view of a rocky cave entrance, with a large stone carving of a human face peering out from the darkness. The face appears to be grinning or smiling, with detailed carvings of eyes, nose, and mouth. The cave entrance is surrounded by lush greenery and natural stone formations, creating an otherworldly atmosphere. The lighting is dim, with rays of sunlight peeking through the dense foliage. In the background, a group of people can be seen walking or hiking, their figures blurred and indistinct. The video zooms slowly out, revealing more of the cave entrance and the surrounding landscape."
159_14_1CF93C78-0AC-00090-0000156D-1CF8BF1D,"The video shows a old Hindu temple likely in southeast asia. The camera pans across the temple's entrance, revealing intricate carvings and sculptures of Hindu deities on the walls and pillars. The temple's tall roof is adorned with round-like structures, and the walls are decorated with geometric patterns. The video then shows a man in traditional Balinese clothing, likely a temple caretaker. The camera continues to pan around the temple, showcasing its beautiful architecture and lush green surroundings."
15_2_1C5477A5-255-00119-0000069C-1C53BDB6,"In the video, two young boys are playing a tennis match on an indoor court. Both boys are wearing a white shirt. The court is blue and has a net in the center. The boys are standing on opposite sides of the court, ready to serve. The boy in the front of the camera serves the ball first, and the other boy returns it with a forehand stroke. The ball is hit back and forth several times, with each boy trying to outmaneuver the other. The boys are both wearing tennis shoes and using rackets to hit the ball. The court has lines marking the boundaries."
160_22_1CF93D4B-330-00095-0000156D-1CF8BF1D,"The video features a person in a white shirt standing on the edge of an ornately carved stone balustrade. The balustrade is part of a grand, old traditional Asian building with intricate carvings, possibly of cultural or historical significance, decorated with mythical creatures like dragons. The person appears to be inspecting or admiring the craftsmanship of the balustrade. As the video progresses, the camera pans to reveal more of the building's facade, which is adorned with similar elaborate stone carvings. The surrounding environment includes lush greenery, suggesting that the building might be located in a garden or a similarly verdant setting. The sky is overcast, providing soft lighting that accentuates the details of the stonework. The person remains stationary throughout the video, maintaining their position on the balustrade, while the camera's movement allows for a broader view of the architectural beauty and the serene atmosphere of the location."
161_5_1CF93E49-3E0-00097-0000156D-1CF8BF1D,"The video begins with a view of a street and residential area. As the video progresses, a group of women enters the frame, walking along the street. They are dressed in traditional attire, with vibrant colors and intricate designs, indicating a cultural or ceremonial event. The women carry various items, such as offerings and musical instruments, hinting at a religious or festive procession. The camera follows them as they continue down the street, passing by a parked car, which adds a sense of everyday life to the scene. The procession moves with a sense of purpose and reverence, and the women's attire and the items they carry suggest that they are part of a religious or cultural ceremony. The video captures the essence of a community coming together to celebrate or honor a tradition, showcasing the rich cultural tapestry of the area."
162_1_1CF94081-2EA-000A1-0000156D-1CF8BF1D,"The video shows a road sign reading ""Wadi Mujib"" and also Arabic white script, surrounded by a desert landscape. In the distance, the faint outline of a mountain range can be seen, with the sea in the background. The sky is a clear blue and the sun casts a shadow on the ground. The terrain is rocky and barren, with a few scattered plants visible. The road sign is positioned on the side of the road."
163_53_1CF941D1-1E8-000AB-0000156D-1CF8BF1D,"The video depicts a panoramic view of an ancient hellenistic city. The camera pans across the landscape, showing the ruins of ancient buildings and temples with a city visable in the distance. The video is shot in a wide-angle format, giving a sense of the vastness of the site and the surrounding landscape. The ruins are covered in a layer of dust and dirt, and the buildings appear to be crumbling and weathered. The video is shot in a arid almost desert like environment, with sandy hills, rocky outcroppings and almost no trees visible in the background. The sky is clear and blue. The video captures the beauty and grandeur of this ancient city, and the sense of history and civilization that permeates the site."
164_1_1CF94352-39C-000C2-0000156D-1CF8BF1D,"The video features a stylized portrait of a man dressed in a suit and tie, set against a vibrant background that includes a rainbow and what appears to be a historical building. The man's expression is serious, and he is positioned centrally in the frame. The portrait is adorned with Arabic script at the top, suggesting cultural or regional significance. Throughout the video, the image remains static, with no changes in the man's expression, the background, or the text. The consistent presentation of the image over time indicates that the video's focus is on this single, unchanging visual."
165_17_1CF94485-3B0-000FF-0000156D-1CF8BF1D,"The video presents a sequence of frames showcasing an old, weathered stone staircase within an ancient structure, possibly a castle or fortress. The staircase, constructed from large, uneven stone blocks, ascends in a series of steps leading to a darkened archway at the top. The walls flanking the staircase are also made of similar stonework, featuring rounded arches that suggest a historical or medieval architectural style. The lighting in the scene is dim, with natural light filtering in from the top of the staircase, casting soft shadows and highlighting the texture of the stone. Throughout the sequence, there is no movement or change in the scene; the staircase remains static, and the environment is devoid of any human or animal presence. The atmosphere is one of stillness and timelessness, as if the staircase has been untouched for centuries."
166_3_1CF945BB-029-00119-0000156D-1CF8BF1D,"The video shows an aerial view of a city at night. The city is densely populated, with many buildings and streets visible. The sky is dark, with a few stars twinkling in the distance. The city lights create a maze of yellow, orange, and red hues that stretch as far as the eye can see. The camera pans across the city, showing various landmarks such as a large stadium, a hospital, and a park. The video also captures the movement of cars and people on the streets, giving a sense of activity and life. In the background, the skyline of a mountain range can be seen, adding depth and context to the scene."
167_48_1CF946D5-2FE-0011C-0000156D-1CF8BF1D,"The video is of a narrow canyon with tall red rock walls on either side, with a dirt trail leading through the center. The camera pans left to right, showing the dramatic landscape and the people walking on the trail. The walls of the canyon are rugged and uneven, with some areas having steep inclines and deep crevices. The ground is dry and dusty, with occasional small rocks and boulders scattered about. The sun is shining down, casting long shadows and highlighting the textures of the rocks. The people in the video are wearing hiking gear and appear to be enjoying the scenery."
168_17_1CF95046-013-00127-0000156D-1CF8BF1D,"In the video, a group of people wearing traditional Ukrainian clothing can be seen performing a lively folk dance on stage. The men are dressed in long, white shirts with embroidered sleeves and pants, while the women wear colorful embroidered dresses. The dance is filled with energetic leaps and spins, and the dancers move in unison to the lively music. The video is shot on a stage with dim lighting, and the other performers can be seen clapping and cheering in the background. The dancers are smiling and having fun, adding to the lively atmosphere of the performance."
169_26_1CF95195-145-0012C-0000156D-1CF8BF1D,"The video presents a close-up view of a document titled ""Singende Engel,"" which translates to ""Singing Angel"" in English. The document appears to be a production list for a film or theatrical production, detailing various roles and their respective performers. The list is organized into columns with headings such as ""Roll,"" ""Name,"" ""Datum,"" and ""Drehung,"" which refer to the role, actor's name, date, and episode or scene number. The visible portion of the list includes names like ""Gustav Hein,"" ""Kaiserin,"" ""Kaiser Franzl,"" ""Kletterer,"" and ""Frau Schubert,"" among others. As the video progresses, the camera pans down to reveal more names, such as ""Theodor Grieg,"" ""Erich Nikolai,"" ""Graf Larisch,"" and ""Dr. Langhammer."" The document is in black and white, suggesting it may be from an older time period or styled to appear vintage."
16_1_1C65C7EF-232-000C7-00000B6C-1C64E135,"The video shows a group of musicians performing on a stage in front of a live audience. The stage is dimly lit, with spotlights shining on the performers. The audiance is dressed in formal attire, with the men wearing suits and the women wearing dresses. The lead singer, a man with a microphone, is standing in the center of the stage and singing into the microphone. He is surrounded by the other musicians, who are playing various instruments such as keyboards, guitars, and drums. The other musicians are also visible in the video, playing their instruments and singing along with the lead singer. The guitarist is seen strumming his guitar and singing backing vocals, while the keyboardist is playing the keys and occasionally singing. The drummer is sitting behind his drum set, keeping the beat of the music. In the background, there are several people dancing and enjoying the music. The audience is shown in glimpses, clapping and cheering for the performers. The video ends with the lead singer thanking the audience and the musicians taking a bow. "
170_25_1CF95A5C-087-0014B-0000156D-1CF8BF1D,"The video shows a view from the driver's seat of a bus as it travels along a rural road. The bus is waiting at a crossing for a green passenger train to passing by. The two vehicles in front are old and have a red and white color scheme. The camera is positioned near the front of the vehicle, and the viewer can see the road ahead and the surrounding landscape. The viewer can see fields and forests outside the window. The road is winding and narrow, with occasional passing lanes and intersections. The vehicle is surrounded by other cars and trucks."
171_259_1CF95B02-35A-0015B-0000156D-1CF8BF1D,"The video shows a painting in a grand palace with ornate gold frames and intricate details. The painting depicts a regal scene with a woman holding a scepter. The woman is dressed in a flowing blue gown. The angels and cherubs are adorned with golden halos and wings. The painting is set against a backdrop of clouds and a distant landscape. The lighting is dim, creating a sense of grandeur and drama. The colors are muted, with shades of blue and gold dominating the palette."
172_24_1CF95B52-0DE-00167-0000156D-1CF8BF1D,"The video shows a historic building with a grand facade, possibly a palace or a government building. The structure is made of stone and has several arched windows and doors. The facade is adorned with carvings and statues, including a large stone statue of a man on horseback at the top of the building. The video pans across the facade, showing the intricate details and architectural features of the building. In the foreground, a group of people can be seen standing on the cobblestone street, possibly waiting to enter the building. The video is shot in a cloudy, overcast day, which adds to the somber and imposing atmosphere of the building."
173_39_1CF95BD7-253-00174-0000156D-1CF8BF1D,"The video shows a busy street scene in Amsterdam, Netherlands, with people riding bicycles and walking on the bridge over a canal. The bridge has a stone railing and is lined with trees. The camera pans right to left, showing a boat passing underneath the bridge. The boats and buildings in the background are reflecting off the water, creating a picturesque scene. The people in the video are dressed in casual attire, and the atmosphere is lively and vibrant. The video is shot in a warm, sunny day, with the lighting highlighting the colors of the buildings and boats."
174_14_1CF95C57-185-0017C-0000156D-1CF8BF1D,"The video shows a passenger aircraft being towed at an airport. The plane is painted in the colors of Swiss International Air Lines and has the registration HB-IXQ. The camera is positioned at a high angle, looking down at the plane. The plane's engines and landing gear are visible, as well as the luggage carts and other ground equipment. The plane is surrounded by airport staff, who are wearing  vests and gloves. The video is shot in a steady, continuous frame, with no cuts or edits. The atmosphere is busy and bustling."
175_34_1CFA7A4E-2FA-00035-000030C5-1CFA109D,"The video shows a panoramic view of a temple compound in southeast Asia. The camera is from the perspective of a car driving on the road and looking at the right side. The camera pans from right to left, showing a fence which surrounds a variety of buildings and structures within the compound. In the foreground, a large white dome-shaped structure with a golden spire can be seen, which appears to be the main temple building. To the right of the temple, there are several smaller structures. In the background, there are several trees and a few power lines. The sky is clear and blue, with a few white clouds. The video is shot on a sunny day, and the sun is visible in the sky."
176_1_1CFA7AF2-275-00038-000030C5-1CFA109D,"The video shows a scenic beachside setting with a group of people gathered near the shore. The camera pans across the sandy beach, showcasing the clear blue waters of the ocean. In the distance, a colorful elephant can be seen standing under a yellow canopy, surrounded by people in traditional clothing. The sun is setting in the background, casting a warm glow over the scene and you can see an elephant standing behind the crowd. The waves gently lap at the shore. The video captures the beauty of the beach and the joyful atmosphere of the gathering, with the elephant adding a touch of exotic flair."
177_6_1CFA7B96-3D8-0003A-000030C5-1CFA109D,"In this video, a group of small sea turtles can be seen swimming together in a tank of clear water. The turtles are all similar in size and shape, with dark greenish-brown shells and flippers. They are all swimming in different directions, towards the left side of the frame. Some of the turtles are swimming near the surface of the water, while others are submerged deeper in the tank. The water is calm and clear, and the turtles are all moving at a relatively slow pace. The background of the tank is a dark gray color, and there are no visible objects or obstacles in the water. The lighting in the tank is bright and even, illuminating all of the turtles equally."
178_3_1CFA7F52-2FA-0004E-000030C5-1CFA109D,"In the video, a skilled craftsman is shown working in a workshop, carving a intricate wooden mask. The camera pans across the workshop, showing various tools and materials laid out on a table. The craftsman is seen carefully shaping the wood with a small chisel, his hands moving deftly as he works. The mask is adorned with intricate patterns and designs, which the craftsman carefully carves into the wood. As he works, he occasionally looks up and smiles at the camera, giving a glimpse of his face. The lighting in the workshop is dim. The background is blurred, drawing the viewer's attention to the craftsman and his work."
179_42_1CFA8012-2AE-00051-000030C5-1CFA109D,"The video depicts a group of three men standing in an outdoor setting, seemingly engaged in a conversation. The men are dressed in traditional attire, with two of them wearing white robes and white caps, while the other one is dressed in a lighter-colored robe and white cap. They appear to be standing on a paved area with grass and trees in the background. Throughout the video, the men maintain their positions and continue to interact with one another, suggesting a steady, uninterrupted dialogue. The environment remains consistent, with no significant changes in the background or the men's positions, indicating that the scene is likely taking place in a single, continuous moment."
17_5_1C65E79D-069-000F5-00000B6C-1C64E135,"The video shows a view of a slope in the mountains, with a ski lift in the background. You can see two people using the lift to go up to the next station on the mountain. In the foreground you can see the ski lift and in the background you can see many trees and a mountain range."
180_183_1CFA8162-0C4-00059-000030C5-1CFA109D,"The video shows a close-up view of a  water well in a lush green garden. The well is made of rusted metal with a circular frame, with a rope attached to a wheel with a mechanism to pull it up and down. The camera pans down to show inner parts of the well. As the camera pans down it reveals a small plants which are growing on the inner sides of the well.  At the bottom you can see the water with light reflecting on the surface and the rope going deep into the water."
181_10_1CFA829D-331-00060-000030C5-1CFA109D,"The video shows a brown-colored door with two windows centered above a door. The door has a rectangular shapewith a rounded top and is made of wood. The windows are also rectangular and have a brown frame. The door has two metal hinges at the bottom and a large metal handle in the center. The windows have thin white curtains that are partially open, allowing a glimpse of the interior of the building. The door and windows are set into a yellow-colored wall with a textured surface. The wall has a series of small rectangular panels that run horizontally, giving it a striped appearance."
182_5_1CFA83BC-2FB-00065-000030C5-1CFA109D,"The video begins with a view of a grand train station, characterized by its large, arched windows and a sign that reads ""ORION TV."" The station exudes an air of historical significance, with its intricate architectural details. As the video progresses, the focus shifts to the bustling activity within the station. People of various ages and attire are seen walking through the station, some pulling luggage behind them, indicating the comings and goings typical of a train station. The scene captures the essence of travel and the transient nature of such a place."
183_19_1CFA847F-0A9-00068-000030C5-1CFA109D,"The video shows a car driving through Budapest, with the camera mounted inside the car. The car is driving in a busy street and passing by medium rise historical buildings. In the center of the frames you can see the great synagogue of Dohány Street. One of the towers is surrounded by scaffolding is currently renovated. The other tower is fully visible and you can see the hole dome structure and the golden and bright brick details and ornaments."
184_3_1CFABC53-15D-0018A-000030C5-1CFA109D,"The video depicts a bustling street scene in a European town, with a fountain in the center of the frame. The camera pans left to right, showing pedestrians walking by. The fountain is right next to the wall of the historic medivial looking building. Right next to it you can see a local pub with a beer sign. The video is shot in a realistic style, with natural lighting and a focus on the everyday activities of the people in the scene."
186_22_1CFABD30-3B3-0018C-000030C5-1CFA109D,"The video depicts a group of people, mostly elderly, gathered on the steps of a classical building singing hymns. They are dressed in casual attire, with some wearing brightly colored jackets and scarves. The setting is an urban area, with tall buildings and streets nearby. The group is led by a conductor, who stands at the front and gestures to the audience."
186_5_1CFABD30-3B3-0018C-000030C5-1CFA109D,"The video shows a group of people gathered outdoors, with a woman standing at the front leading a choir. The group is surrounded by people and a large stone building The woman is wearing casual attire. The choir is made up of people of various ages and backgrounds. The group is singing a hymn, and the woman is conducting with hand gestures. The scene is well-lit and the camera is positioned at a slight angle, capturing the entire group from the front."
187_5_1CFABE57-012-00192-000030C5-1CFA109D,"The video shows a rolling green hillside with a small town in the distance, surrounded by a ring of hills. The town is centered around a large, imposing monastery or castle with towers and zentral spire, and is surrounded by a dense forest. The hillside is dotted with trees and small copses, and the landscape stretches out to the horizon. The sky is clear and blue, with a few puffy white clouds scattered about. The sun is shining down, casting long shadows across the landscape. In the distance, the hills are covered in a thin layer of mist."
188_1_1CFABEA4-248-00196-000030C5-1CFA109D,"In this video, we see a tall, green pine tree standing in a forest clearing with a steep mountain range visible in the background. The sunlight filters through the branches and the leaves, casting dappled shadows on the forest floor. The trunk of the tree is straight and sturdy, with thick, rough bark that is covered in moss and lichen. The branches are thin and wispy, swaying gently in the breeze. The forest floor is covered in a thick layer of fallen leaves, with ferns and wildflowers growing here and there. In the background, the mountain range rises up, its peaks shrouded in mist and cloud. The trees in the distance are smaller and more sparse, giving the impression of a dense, primeval forest."
18_3_1C65E812-1A1-000FA-00000B6C-1C64E135,"The video shows a group of young people gathered on a grass field surrounded by trees and a lake in the background. They are dressed in brightly colored clothing and are standing in a circle, holding paper. In the center of the circle, there is a tall, slender figure wearing a white shirt, who is leading the group in song. The scene is bright and colorful, with the sun shining down on the group and casting long shadows across the hillside. Surrounding the young people, are many adults who watch and listen to the performance."
190_8_1CFABF2D-3E2-00198-000030C5-1CFA109D,"In the center of the video is a golden altar with intricate carvings of angels and saints. The altar is surrounded by a tall, ornate pipe organ with gilded details and a large crucifix above it. The organ pipes are visible on either side of the altar, and a statue of a saint is perched on top of one of the pipes. The walls of the church are adorned with ornate frescoes and gilded moldings, and a large chandelier hangs from the ceiling. The lighting is bright and the colors are muted, giving the scene a somber and reverent atmosphere."
191_27_1D20F45C-264-00192-000041F6-1D205A2D,"In this video, a speaker addresses a large audience and a toddler is walking next to many adults sitting in chairs in a crowded room. The toddler is wearing a navy blue blazer and a striped tie. The adults are seated in chairs behind and next to him, listening to a speaker who addresses the large crowd from a podium. The room has a high ceiling and is decorated with flags and banners. The Speaker stand in front of the Austrian National flag, suggesting the event takes place in Austria. There are also several tables with flowers and flags on them. The toddler is walking towards the front of the room."
192_27_1D20F75E-363-001C0-000041F6-1D205A2D,"The video shows a group of people posing for a photo in a garden. The group consists of an elderly couple, a middle-aged woman, and the rest of the family. The elderly couple is seated in white armchairs, while the middle-aged woman and the rest of the family are standing behind them. The women are wearing dresses. The garden is well-manicured and has a few trees and flowers. The he sun is shining down on the group. The photo is taken from a distance, and the camera is positioned slightly above the group."
193_2_1D20F801-09F-001C7-000041F6-1D205A2D,"In this video, a group of people can be seen seated at a long table in a dimly lit room. The video depicts a medieval-themed event where individuals are dressed in period costumes. The table is adorned with candles, and the guests are dressed in medieval attire, with some wearing crowns and holding goblets. One man, dressed in a blue cloak and crown, stands up and raises his goblet in a toast, while another man, wearing a red cloak, looks on. The room is filled with the sound of laughter and clinking glasses, and the atmosphere is festive and joyful."
194_2_1D20F924-1FA-001CE-000041F6-1D205A2D,"The video shows a traditional Norwegian choir performing a hymn in a church. The choir is composed of elderly women and men dressed in traditional Norwegian clothing, with the women wearing red and white skirts and the men wearing a suite with white shirts and black pants. The choir is standing in front of a stone altar, with a large stained glass window behind them. The women are holding red and white scarves, which they use to sing along with the hymn. The men are holding hymnals and periodically join in with the singing. The choir is standing in a symmetrical formation, with the women on one side and the men on the other. The video is shot in a stationary position, with the camera focused on the choir. The lighting is dim, with a few spotlights shining down on the choir."
195_7_1D29F413-0F3-00015-00005255-1D2994AD,"The video shows a tilted shot of a church's white tower and a steeple in the center of a small town. The tower has a clock face on one side and a cross on top. The steeple has a sharp point at the top. The sky is clear and blue, with a few white clouds scattered about. The sun casts a shadow on the tower, creating a dramatic contrast between the light and dark areas. In the foreground, a few houses can be seen, each with a unique architectural style and a small garden or courtyard. The video pans to the left, revealing more of the town. The Buildings obscure most of the church, so only its withe tower is visible."
195_8_1D29F413-0F3-00015-00005255-1D2994AD,"The video shows a panoramic view of a picturesque coastal town surrounded by lush green hills and bluer waters. The camera pans across the horizon, capturing the tranquil scene with boats docked in the harbor and houses scattered across the hillside. The view extends out to sea, where a few boats can be seen sailing in the distance. The sky is clear and blue, with a few puffy clouds scattered about. The town is surrounded by rolling hills covered in green vegetation, and the sea glistens in the sunlight. The video provides a serene and idyllic view of a coastal town, with a sense of peace and tranquility."
196_13_1D29F4D0-308-00017-00005255-1D2994AD,"In this video, we see a man pushing a woman in a wheelchair, with a woman and dog walking alongside them. The man is wearing a coat and a hat, while the woman is dressed in a sweater and a skirt. They are walking on a paved path, surrounded by trees and a stone wall. The scene is bright and sunny, with the sky visible in the background. The camera is positioned at a slight angle, capturing the three individuals from the side. The man is seen pushing the wheelchair with one hand, while the other woman is holding the dog's leash. The woman is looking ahead, smiling and chatting with the man. The dog is wagging its tail and looking up at the man. The scene is quiet, with no other people or vehicles visible in the background."
196_23_1D29F4D0-308-00017-00005255-1D2994AD,"The video depicts a serene landscape with a small church in the background. The church is surrounded by a green field with yellow dandelions blooming in the foreground. The video is captured from a low angle, slowly panning across the field to showcase the church's architecture and the surrounding landscape. In the distance, a few trees can be seen, adding a pop of color to the otherwise monochromatic scene. The sky is clear and blue, with a few white clouds scattered about."
198_9_1D2A0196-144-0003E-00005255-1D2994AD,"The video is shot inside a church and shows a group of people gathered around a decorative cabinet or shrine. The cabinet is adorned with intricate carvings and has a statue of a religious figure on top. The group of people, consisting of both men and women, appear to be listening to a sermon or presentation being given by someone off-camera. They are dressed in casual, everyday clothing and are standing or sitting in a relaxed manner. The lighting in the church is dim, casting a warm glow over the scene. On the walls, there are stained glass windows depicting religious scenes and figures."
199_11_1D2A01F4-1B4-00049-00005255-1D2994AD,"The video shows a tranquil scene of a resort pool area with several yellow lounge chairs placed around the perimeter of the pool. The camera pans across the pool, providing a clear view of the water's edge and the surrounding walls and windows. The pool itself is filled with calm, crystal-clear water, reflecting the sunlight and the blue sky above. In the background, there are glass doors and windows that lead out to the rest of the resort. The pool area is empty, giving the sense of a peaceful and private oasis. The video is shot in a smooth and steady pace, allowing the viewer to take in the details of the setting."
19_6_1C65E8D4-0E6-000FF-00000B6C-1C64E135,"The video shows two people participating in water sports on a lake. One person is riding a windsurfing board, while the other person is paddling a yellow kayak. The windsurfer is shown standing on the board and using a sail to propel themselves across the water. The kayaker is paddling towards the windsurfer, who is struggling to balance on the board. The windsurfer falls off the board and is shown trying to get back on while the kayaker approaches."
1_18_19F3ADD6-3E4-00331-00000B64-19F2B6C5,"The video shows a busy street scene in a European city, likely in Italy. The camera pans right to left, showing pedestrians and vehicles passing by. In the foreground, a woman is pushing a stroller with a small child inside. The stroller is adorned with colorful toys and blankets. In the background, a car is parked on the side of the street, and a bus is visible in the distance. The scene is shot with an old camera, giving the scene simple colours with a slight graininess to the image."
200_1_1D2A022B-0FE-0004D-00005255-1D2994AD,"The video presents a scenic view of a castle surrounded by lush greenery. Initially, the castle is partially obscured by trees, but as the video progresses, the camera pans to reveal more of the castle's structure, including a prominent tower with a clock. The castle's architecture features a mix of stone and red-tiled roofs, indicative of traditional European design. As the camera continues to move, a car is seen driving along a road adjacent to the castle, providing a sense of scale and activity in the otherwise tranquil setting. The video captures the serene beauty of the castle and its surroundings, emphasizing the contrast between the historical architecture and the modern vehicle."
200_9_1D2A022B-0FE-0004D-00005255-1D2994AD,"The video shows a woman standing infront a stone gate in an old town. The gate is surrounded by high walls and has an arched top. The woman is wearing a red jacket and carrying a camera.  As the camera zooms to her, she can be seen taking a photo of the gate with her camera. The camera shows a small street with cobblestone pavement and old buildings on either side. In the end other people walk out of the gate."
201_5_1D2A0271-103-0004F-00005255-1D2994AD,"The video shows a serene indoor pool area with a spacious staircase leading to the upper level. The walls and floors are made of polished marble, giving the space a luxurious feel. The staircase has a smooth, curved railing that adds to the elegance of the space. The pool is surrounded by comfortable lounge chairs and umbrellas, providing a relaxing atmosphere. Two people are lying in a deck chair and one person stands in the middle of the staircase and is smiling to the camera. The water is crystal clear, reflecting the lighting fixtures hanging from the ceiling. The video pans to the right, showcasing the upper level of the pool area, which features  a variety of lounge chairs. The scene is peaceful and inviting, perfect for a relaxing getaway."
202_1_1D2A02C7-2D2-00051-00005255-1D2994AD,"The video shows a scenic mountain landscape with a stone mill in the center, surrounded by trees and a babbling stream. Two people can be seen walking towards the mill, one of them carrying a backpack. The camera pans to follow them as they approach the mill, showing the rustic architecture and the greenery around it. The video ends with a close-up shot of the mill's water wheel, highlighting its wooden structure and the flowing water and then pans down to show the rest of the small river."
203_28_1D2A0678-093-0009A-00005255-1D2994AD,"The video shows a large, white, industrial crane standing on a dock in a port. The crane has a long, straight boom and a smaller, telescoping boom on the side. The camera is positioned close to the crane, and the viewer can see the detailed metalwork on the machine. The crane is standing on a concrete platform, and there is a small boat moored nearby. The sky is overcast, and the scene is punctuated by the sound of seagulls calling. The crane's metal arms and booms are gleaming in the sunlight, and the viewer can see the machinery moving slightly as the crane sways gently in the breeze."
204_15_1D2A068B-386-0009B-00005255-1D2994AD,"The video shows a serene and picturesque view of a lake with several small islands and a boat sailing in the distance. The camera is positioned on a moving vessel, capturing the scene from a dynamic perspective. The water is calm and reflects the blue sky, with a few white clouds scattered above. The islands are covered with lush greenery, and a few buildings and boats can be seen on some of the islands. In the distance, a sailboat is visible, sailing away from the viewer. The scenery is peaceful and idyllic."
205_3_1D2A06A9-3D5-0009C-00005255-1D2994AD,"In this video, a woman is shown working in a packing facility, preparing boxes of produce for shipping. She is wearing a pink and red and blue striped shirt and has a basket of apples in her left hand. She is standing in front of a large wooden crate filled with boxes of various sizes. She places a box of apples into a larger box, then looks around the facility before picking up another box of apples and placing it into the larger box. The facility is well-lit and has a high ceiling, with rows of metal shelves and a conveyor belt in the background. The woman is focused on her task and is moving quickly, with a sense of urgency. The apples and boxes are visible in high detail, with the boxes featuring labels and the apples looking fresh and crisp."
206_1_1D2A06D2-368-0009D-00005255-1D2994AD,"In the video, a small airplane can be seen taxiing on the runway, with the tail of the plane visible in the center of the frame. The plane is painted in a red and white striped pattern, with a small flag on the tail. The plane is surrounded by a flat, dry landscape with rolling hills in the distance. The sky is cloudy, with dark gray clouds drifting lazily across the frame. In the background, a small building can be seen, possibly an air traffic control tower. The video is shot from a low angle, with the camera positioned close to the ground. The plane is moving slowly, and the camera follows it as it moves forward. The video is stabilized, with the camera shake and movement minimized."
207_9_1D2A0756-271-000A2-00005255-1D2994AD,"The video shows a winter sports resort with snow-covered slopes and a building in the background. The camera is moving down the slope, showing the snowy landscape and the mountains in the distance. The building in the background appears to be a restaurant or a chalet, with a terrace and a few people sitting outside. The sky is cloudy and the sun is hiding behind the clouds, casting a pale light on the scene. The snow is packed and icy, with some tracks and marks from skiers and snowboarders."
209_8_1D2A07E5-094-000A4-00005255-1D2994AD,"The video shows a shelf with various art supplies and a gray mouse figurine hanging from a hook. The shelf is made of wood and has a white border with a few gold accents. The mouse figurine is made of gray clay and has a rounded body with a long tail. It is hung from a silver hook that is attached to the wall. There are several paintbrushes, paint tubes, and other art supplies on the shelf, including a small jar of paint, a palette, and a set of colored pencils. The background is a white wall with a few small tiles in a geometric pattern. The lighting is soft and natural, with a few shadows visible on the shelf and the wall."
20_9_1C65E990-088-00104-00000B6C-1C64E135,"The video begins with a close-up of a building's facade, showcasing a decorative emblem with the name ""AUER -COBENZL"" with a owl and a rooster. The camera then pans to reveal an outdoor seating area of a restaurant or café, with white tables and chairs arranged neatly on a wet surface, suggesting recent rain. A lit lantern adds a warm glow to the scene. As the video progresses, the camera focuses on the entrance of the establishment, where a man in a dark suit is seen standing by the door, possibly greeting or waiting for guests. The ambiance is serene, with no other patrons visible in the immediate vicinity. The camera's movement is smooth, providing a comprehensive view of the establishment's exterior and its inviting atmosphere."
210_1_1D2A080D-01F-000A5-00005255-1D2994AD,"In the video, a group of people is gathered on a cobblestone street in what appears to be a quaint town square. The focus is on a man in a light-colored trench coat who is engaged in conversation with a woman to his right. As the video progresses, the man gestures with his right hand, possibly emphasizing a point in his dialogue. The surrounding individuals, including a man with a walking stick and a woman in a brown coat, watch the interaction with interest. The square is adorned with colorful flags and banners, and the architecture of the surrounding buildings suggests a European setting. The atmosphere is casual and social, with the group seemingly enjoying each other's company."
211_27_1D2A0873-295-000A6-00005255-1D2994AD,"The video shows a bus undergoing maintenance in a factory. The busses are mounted on a hydraulic lift, and is tilted at an angle to allow workers to access the underside. The lift is operated by a worker who is visible in the foreground, wearing a yellow safety jacket. The tram's body is painted in a red and white striped pattern, with the words written on the side. The video is shot in a dimly lit factory, with fluorescent lights illuminating the scene. The camera is positioned at a low angle, looking up at the tram. The workers are seen using tools and equipment to perform maintenance tasks on the tram's wheels and brakes."
212_9_1D336B9A-38D-00097-0000218D-1D32CF2D,"In the video, a white stork stands on a nest perched on top of a pole in the middle of a green field. The stork looks around, and then it turns its head to the side and looks away from the camera. The sky is cloudy and gray, and there are a few trees and buildings visible in the distance. The stork appears to be alert and watching something off-camera. The nest is made of sticks and has a small, rounded shape. The stork's feathers are a mix of white and gray, with a distinctive black stripe on its head and neck. The video is filmed in a clear, sharp format, and the stork is the main focus of the frame."
213_25_1D338EBA-22C-000C7-0000218D-1D32CF2D,"The video shows a drive on a winding road surrounded by green fields and dark clouds in the sky. The camera is held by a passenger in the car facing forward. The road is empty and the wind rustling through the trees. The fields on either side of the road are a mix of lush grass and dry crops, with rows of trees and hedges defining the boundaries. In the distance, the sky is dark and foreboding, with thick grey clouds rolling in. The road is narrow and windy, with the camera jostling slightly as the vehicle navigates the turns."
